algorithm,parameter,optimization,construction_time
FBTD,11,none,0.0004097
FBTD,111,none,0.0169315
FBTD,211,none,0.0737501
FBTD,311,none,0.159058
FBTD,411,none,0.304455
FBTD,511,none,0.50385
FBTD,611,none,0.764751
FBTD,711,none,1.11464
FBTD,811,none,1.51892
FBTD,911,none,2.05805
FBTD,1011,none,2.66406
FBTD,1111,none,3.41637
FBTD,1211,none,4.22145
FBTD,1311,none,5.24161
FBTD,1411,none,6.56848
FBTD,1511,none,8.06634
FBTD,1611,none,9.75089
FBTD,1711,none,11.5317
FBTD,1811,none,13.3441
FBTD,1911,none,15.7593
FBTD,2011,none,18.1119
FBTD,11,O,0.0001146
FBTD,111,O,0.0032689
FBTD,211,O,0.0145566
FBTD,311,O,0.0331566
FBTD,411,O,0.0626205
FBTD,511,O,0.101983
FBTD,611,O,0.150954
FBTD,711,O,0.220733
FBTD,811,O,0.296121
FBTD,911,O,0.480602
FBTD,1011,O,0.522228
FBTD,1111,O,0.649163
FBTD,1211,O,0.784394
FBTD,1311,O,0.941224
FBTD,1411,O,1.15294
FBTD,1511,O,1.33899
FBTD,1611,O,1.60067
FBTD,1711,O,1.95384
FBTD,1811,O,2.33212
FBTD,1911,O,2.73882
FBTD,2011,O,3.24616
FBTD,11,O1,5.97e-05
FBTD,111,O1,0.0035622
FBTD,211,O1,0.0143555
FBTD,311,O1,0.0328885
FBTD,411,O1,0.0618382
FBTD,511,O1,0.0998156
FBTD,611,O1,0.155329
FBTD,711,O1,0.223342
FBTD,811,O1,0.298582
FBTD,911,O1,0.397026
FBTD,1011,O1,0.510037
FBTD,1111,O1,0.633369
FBTD,1211,O1,0.785101
FBTD,1311,O1,0.96213
FBTD,1411,O1,1.11588
FBTD,1511,O1,1.31713
FBTD,1611,O1,1.5661
FBTD,1711,O1,1.85423
FBTD,1811,O1,2.19795
FBTD,1911,O1,2.71043
FBTD,2011,O1,3.17886
FBTD,11,O2,2.9e-05
FBTD,111,O2,0.0053418
FBTD,211,O2,0.0131172
FBTD,311,O2,0.0299329
FBTD,411,O2,0.0580275
FBTD,511,O2,0.0947013
FBTD,611,O2,0.139677
FBTD,711,O2,0.20194
FBTD,811,O2,0.276418
FBTD,911,O2,0.367704
FBTD,1011,O2,0.484779
FBTD,1111,O2,0.604644
FBTD,1211,O2,0.760817
FBTD,1311,O2,0.919886
FBTD,1411,O2,1.07918
FBTD,1511,O2,1.37938
FBTD,1611,O2,1.6235
FBTD,1711,O2,1.96722
FBTD,1811,O2,2.51372
FBTD,1911,O2,3.00629
FBTD,2011,O2,3.63982
FBTD,11,O3,2.98e-05
FBTD,111,O3,0.00566
FBTD,211,O3,0.0134868
FBTD,311,O3,0.0312642
FBTD,411,O3,0.0603885
FBTD,511,O3,0.098663
FBTD,611,O3,0.147419
FBTD,711,O3,0.216571
FBTD,811,O3,0.28608
FBTD,911,O3,0.39242
FBTD,1011,O3,0.499
FBTD,1111,O3,0.639675
FBTD,1211,O3,0.790061
FBTD,1311,O3,0.955271
FBTD,1411,O3,1.1384
FBTD,1511,O3,1.3586
FBTD,1611,O3,1.64991
FBTD,1711,O3,2.00455
FBTD,1811,O3,2.44031
FBTD,1911,O3,2.85493
FBTD,2011,O3,3.76829
FBTD,2111,none,20.8147
FBTD,2211,none,23.6893
FBTD,2311,none,26.5649
FBTD,2411,none,30.1505
FBTD,2511,none,33.541
FBTD,2611,none,37.1776
FBTD,2711,none,40.4625
FBTD,2811,none,45.3124
FBTD,2911,none,52.1922
FBTD,3011,none,56.6452
FBTD,2111,O,4.04007
FBTD,2211,O,4.50034
FBTD,2311,O,5.07548
FBTD,2411,O,5.96973
FBTD,2511,O,6.82914
FBTD,2611,O,7.86895
FBTD,2711,O,8.18715
FBTD,2811,O,8.58742
FBTD,2911,O,9.58705
FBTD,3011,O,10.6612
FBTD,2111,O1,3.99259
FBTD,2211,O1,4.32277
FBTD,2311,O1,5.00216
FBTD,2411,O1,5.53928
FBTD,2511,O1,6.50408
FBTD,2611,O1,7.14139
FBTD,2711,O1,8.09319
FBTD,2811,O1,8.85703
FBTD,2911,O1,9.66236
FBTD,3011,O1,10.6734
FBTD,2111,O2,4.37046
FBTD,2211,O2,4.73893
FBTD,2311,O2,5.37576
FBTD,2411,O2,5.98473
FBTD,2511,O2,6.89107
FBTD,2611,O2,7.55767
FBTD,2711,O2,8.50887
FBTD,2811,O2,8.97182
FBTD,2911,O2,10.4536
FBTD,3011,O2,11.4663
FBTD,2011,O3,3.82567
FBTD,2111,O3,5.03641
FBTD,2211,O3,4.52037
FBTD,2311,O3,5.44227
FBTD,2411,O3,6.40857
FBTD,2511,O3,7.02041
FBTD,2611,O3,7.72749
FBTD,2711,O3,8.37248
FBTD,2811,O3,9.57011
FBTD,2911,O3,10.3965
FBTD,3011,O3,11.269
