algorithm,parameter,optimization,construction_time
rotation,100,none,0.0001906
rotation,200,none,0.0006699
rotation,300,none,0.0015995
rotation,400,none,0.0024022
rotation,500,none,0.0017601
rotation,600,none,0.0027028
rotation,700,none,0.0038282
rotation,800,none,0.0052732
rotation,900,none,0.0068169
rotation,1000,none,0.0083922
rotation,1100,none,0.013159
rotation,1200,none,0.0137618
rotation,1300,none,0.016337
rotation,1400,none,0.0182671
rotation,1500,none,0.0207633
rotation,1600,none,0.0236369
rotation,1700,none,0.0265457
rotation,1800,none,0.0313398
rotation,1900,none,0.0307037
rotation,2000,none,0.0393058
rotation,2100,none,0.0421837
rotation,2200,none,0.04669
rotation,2300,none,0.0508846
rotation,2400,none,0.0565707
rotation,2500,none,0.062699
rotation,2600,none,0.0652503
rotation,2700,none,0.0714207
rotation,2800,none,0.0802574
rotation,2900,none,0.08438
rotation,3000,none,0.0926166
rotation,3100,none,0.0986959
rotation,3200,none,0.105058
rotation,3300,none,0.108799
rotation,3400,none,0.120281
rotation,3500,none,0.127507
rotation,3600,none,0.133674
rotation,3700,none,0.142312
rotation,3800,none,0.15085
rotation,3900,none,0.156366
rotation,4000,none,0.166939
rotation,4100,none,0.171371
rotation,4200,none,0.184203
rotation,4300,none,0.195148
rotation,4400,none,0.201935
rotation,4500,none,0.20967
rotation,4600,none,0.218561
rotation,4700,none,0.219519
rotation,4800,none,0.241158
rotation,4900,none,0.25373
rotation,5000,none,0.261556
rotation,5100,none,0.270518
rotation,5200,none,0.286143
rotation,5300,none,0.290085
rotation,5400,none,0.303492
rotation,5500,none,0.31377
rotation,5600,none,0.330792
rotation,5700,none,0.335435
rotation,5800,none,0.352
rotation,5900,none,0.362837
rotation,6000,none,0.376317
rotation,6100,none,0.387545
rotation,6200,none,0.404582
rotation,6300,none,0.415479
rotation,6400,none,0.430791
rotation,6500,none,0.446258
rotation,6600,none,0.459706
rotation,6700,none,0.471339
rotation,6800,none,0.485598
rotation,6900,none,0.499898
rotation,7000,none,0.511446
rotation,7100,none,0.526296
rotation,7200,none,0.545118
rotation,7300,none,0.555499
rotation,7400,none,0.57789
rotation,7500,none,0.594242
rotation,7600,none,0.612938
rotation,7700,none,0.63102
rotation,7800,none,0.639917
rotation,7900,none,0.661542
rotation,8000,none,0.680269
rotation,8100,none,0.694594
rotation,8200,none,0.713686
rotation,8300,none,0.733845
rotation,8400,none,0.748136
rotation,8500,none,0.764778
rotation,8600,none,0.785685
rotation,8700,none,0.809214
rotation,8800,none,0.823008
rotation,8900,none,0.84351
rotation,9000,none,0.865424
rotation,9100,none,0.878989
rotation,9200,none,0.891261
rotation,9300,none,0.92312
rotation,9400,none,0.942634
rotation,9500,none,0.963491
rotation,9600,none,0.986382
rotation,9700,none,1.0013
rotation,9800,none,1.02174
rotation,9900,none,1.04112
rotation,10000,none,1.0673
rotation,10100,none,1.09513
rotation,10200,none,1.10839
rotation,10300,none,1.12744
rotation,10400,none,1.13957
rotation,10500,none,1.13789
rotation,10600,none,1.18596
rotation,10700,none,1.21478
rotation,10800,none,1.23762
rotation,10900,none,1.25928
rotation,11000,none,1.28906
rotation,11100,none,1.31256
rotation,11200,none,1.33797
rotation,11300,none,1.35944
rotation,11400,none,1.39097
rotation,11500,none,1.41508
rotation,11600,none,1.43327
rotation,11700,none,1.46465
rotation,11800,none,1.48272
rotation,11900,none,1.51184
rotation,12000,none,1.54469
rotation,12100,none,1.56888
rotation,12200,none,1.59726
rotation,12300,none,1.61658
rotation,12400,none,1.63452
rotation,12500,none,1.66646
rotation,12600,none,1.67792
rotation,12700,none,1.71971
rotation,12800,none,1.74898
rotation,12900,none,1.78071
rotation,13000,none,1.79726
rotation,13100,none,1.82358
rotation,13200,none,1.86652
rotation,13300,none,1.87822
rotation,13400,none,1.9046
rotation,13500,none,1.93514
rotation,13600,none,1.98
rotation,13700,none,1.99877
rotation,13800,none,2.01568
rotation,13900,none,2.06089
rotation,14000,none,2.08696
rotation,14100,none,2.12533
rotation,14200,none,2.11946
rotation,14300,none,2.16938
rotation,14400,none,2.2081
rotation,14500,none,2.21709
rotation,14600,none,2.25228
rotation,14700,none,2.28553
rotation,14800,none,2.34445
rotation,14900,none,2.37473
rotation,15000,none,2.41891
rotation,15100,none,2.41554
rotation,15200,none,2.45877
rotation,15300,none,2.63674
rotation,15400,none,2.59709
rotation,15500,none,2.52185
rotation,15600,none,2.49724
rotation,15700,none,2.57021
rotation,15800,none,2.61511
rotation,15900,none,2.61186
rotation,16000,none,2.64334
rotation,16100,none,2.71827
rotation,16200,none,2.78065
rotation,16300,none,2.80002
rotation,16400,none,2.81132
rotation,16500,none,2.82191
rotation,16600,none,2.82436
rotation,16700,none,2.87388
rotation,16800,none,2.94477
rotation,16900,none,3.0305
rotation,17000,none,3.03741
rotation,17100,none,3.10483
rotation,17200,none,3.1553
rotation,17300,none,3.17559
rotation,17400,none,3.21593
rotation,17500,none,3.26446
rotation,17600,none,3.29886
rotation,17700,none,3.28156
rotation,17800,none,3.34297
rotation,17900,none,3.36648
rotation,18000,none,3.41144
rotation,18100,none,3.44662
rotation,18200,none,3.51975
rotation,18300,none,3.55332
rotation,18400,none,3.57844
rotation,18500,none,3.62878
rotation,18600,none,3.62363
rotation,18700,none,3.66556
rotation,18800,none,3.6969
rotation,18900,none,3.76949
rotation,19000,none,3.82417
rotation,19100,none,3.89252
rotation,19200,none,3.92973
rotation,19300,none,3.97503
rotation,19400,none,3.9784
rotation,19500,none,4.02141
rotation,19600,none,4.08701
rotation,19700,none,4.15694
rotation,19800,none,4.2019
rotation,19900,none,4.22003
rotation,20000,none,4.27082
rotation,100,O1,7.27e-05
rotation,200,O1,0.0002994
rotation,300,O1,0.0011219
rotation,400,O1,0.0022601
rotation,500,O1,0.0025866
rotation,600,O1,0.0032102
rotation,700,O1,0.0042279
rotation,800,O1,0.0056945
rotation,900,O1,0.006481
rotation,1000,O1,0.0078637
rotation,1100,O1,0.009562
rotation,1200,O1,0.0115634
rotation,1300,O1,0.0136742
rotation,1400,O1,0.0159624
rotation,1500,O1,0.0184159
rotation,1600,O1,0.0210202
rotation,1700,O1,0.0236914
rotation,1800,O1,0.0267331
rotation,1900,O1,0.0301404
rotation,2000,O1,0.033152
rotation,2100,O1,0.0364331
rotation,2200,O1,0.0400919
rotation,2300,O1,0.0432884
rotation,2400,O1,0.0499488
rotation,2500,O1,0.0513178
rotation,2600,O1,0.0553608
rotation,2700,O1,0.0598082
rotation,2800,O1,0.0640866
rotation,2900,O1,0.0689992
rotation,3000,O1,0.0734861
rotation,3100,O1,0.0787067
rotation,3200,O1,0.0817056
rotation,3300,O1,0.0714388
rotation,3400,O1,0.0669858
rotation,3500,O1,0.0706612
rotation,3600,O1,0.0744615
rotation,3700,O1,0.0787105
rotation,3800,O1,0.0831372
rotation,3900,O1,0.0874821
rotation,4000,O1,0.0921479
rotation,4100,O1,0.0968693
rotation,4200,O1,0.142637
rotation,4300,O1,0.153512
rotation,4400,O1,0.160957
rotation,4500,O1,0.171653
rotation,4600,O1,0.175228
rotation,4700,O1,0.183578
rotation,4800,O1,0.191203
rotation,4900,O1,0.218395
rotation,5000,O1,0.210823
rotation,5100,O1,0.232045
rotation,5200,O1,0.239883
rotation,5300,O1,0.208861
rotation,5400,O1,0.185159
rotation,5500,O1,0.178722
rotation,5600,O1,0.180893
rotation,5700,O1,0.190591
rotation,5800,O1,0.194317
rotation,5900,O1,0.199809
rotation,6000,O1,0.209933
rotation,6100,O1,0.213545
rotation,6200,O1,0.223522
rotation,6300,O1,0.227055
rotation,6400,O1,0.238818
rotation,6500,O1,0.24198
rotation,6600,O1,0.255139
rotation,6700,O1,0.2576
rotation,6800,O1,0.261795
rotation,6900,O1,0.288927
rotation,7000,O1,0.298608
rotation,7100,O1,0.392615
rotation,7200,O1,0.439743
rotation,7300,O1,0.448269
rotation,7400,O1,0.443052
rotation,7500,O1,0.329845
rotation,7600,O1,0.349057
rotation,7700,O1,0.518454
rotation,7800,O1,0.523779
rotation,7900,O1,0.539326
rotation,8000,O1,0.520118
rotation,8100,O1,0.396927
rotation,8200,O1,0.378121
rotation,8300,O1,0.387869
rotation,8400,O1,0.399338
rotation,8500,O1,0.411011
rotation,8600,O1,0.416002
rotation,8700,O1,0.424535
rotation,8800,O1,0.433214
rotation,8900,O1,0.445391
rotation,9000,O1,0.453529
rotation,9100,O1,0.62383
rotation,9200,O1,0.742029
rotation,9300,O1,0.711971
rotation,9400,O1,0.504686
rotation,9500,O1,0.70374
rotation,9600,O1,0.758645
rotation,9700,O1,0.812562
rotation,9800,O1,0.884117
rotation,9900,O1,0.892723
rotation,10000,O1,0.868364
rotation,10100,O1,0.97732
rotation,10200,O1,0.834675
rotation,10300,O1,0.930978
rotation,10400,O1,0.882776
rotation,10500,O1,0.648282
rotation,10600,O1,0.770794
rotation,10700,O1,0.845424
rotation,10800,O1,0.656238
rotation,10900,O1,0.949021
rotation,11000,O1,0.978845
rotation,11100,O1,0.866094
rotation,11200,O1,0.739377
rotation,11300,O1,0.724817
rotation,11400,O1,0.747099
rotation,11500,O1,0.750426
rotation,11600,O1,0.75384
rotation,11700,O1,0.982694
rotation,11800,O1,0.920782
rotation,11900,O1,0.800593
rotation,12000,O1,0.81663
rotation,12100,O1,0.82567
rotation,12200,O1,0.847606
rotation,12300,O1,1.02411
rotation,12400,O1,1.24554
rotation,12500,O1,0.924593
rotation,12600,O1,0.894195
rotation,12700,O1,1.25058
rotation,12800,O1,1.01286
rotation,12900,O1,1.30705
rotation,13000,O1,1.24588
rotation,13100,O1,1.45393
rotation,13200,O1,1.15283
rotation,13300,O1,1.43569
rotation,13400,O1,1.29347
rotation,13500,O1,1.27313
rotation,13600,O1,1.43775
rotation,13700,O1,1.31636
rotation,13800,O1,1.15663
rotation,13900,O1,1.17871
rotation,14000,O1,1.34816
rotation,14100,O1,1.10585
rotation,14200,O1,1.19781
