algorithm,parameter,optimization,construction_time
complete,100,none,0.000412
complete,200,none,0.0017686
complete,300,none,0.0027643
complete,400,none,0.0023206
complete,500,none,0.0038579
complete,600,none,0.0055199
complete,700,none,0.0071915
complete,800,none,0.0094069
complete,900,none,0.0122322
complete,1000,none,0.0156103
complete,1100,none,0.0181515
complete,1200,none,0.0218904
complete,1300,none,0.0255828
complete,1400,none,0.0303352
complete,1500,none,0.0350616
complete,1600,none,0.0402156
complete,1700,none,0.0466392
complete,1800,none,0.0507101
complete,1900,none,0.0616135
complete,2000,none,0.0634185
complete,2100,none,0.0780749
complete,2200,none,0.0802845
complete,2300,none,0.0887948
complete,2400,none,0.0870377
complete,2500,none,0.0982135
complete,2600,none,0.113117
complete,2700,none,0.129245
complete,2800,none,0.128949
complete,2900,none,0.143339
complete,3000,none,0.157476
complete,3100,none,0.162761
complete,3200,none,0.177922
complete,3300,none,0.197228
complete,3400,none,0.206847
complete,3500,none,0.214076
complete,3600,none,0.204602
complete,3700,none,0.228341
complete,3800,none,0.240906
complete,3900,none,0.352217
complete,4000,none,0.336978
complete,4100,none,0.298015
complete,4200,none,0.278267
complete,4300,none,0.283843
complete,4400,none,0.295074
complete,4500,none,0.307957
complete,4600,none,0.322287
complete,4700,none,0.340796
complete,4800,none,0.356988
complete,4900,none,0.373666
complete,5000,none,0.381045
complete,5100,none,0.395492
complete,5200,none,0.411503
complete,5300,none,0.427905
complete,5400,none,0.443666
complete,5500,none,0.459899
complete,5600,none,0.4767
complete,5700,none,0.496509
complete,5800,none,0.510954
complete,5900,none,0.528219
complete,6000,none,0.545858
complete,6100,none,0.565781
complete,6200,none,0.584164
complete,6300,none,0.60144
complete,6400,none,0.621809
complete,6500,none,0.640288
complete,6600,none,0.662612
complete,6700,none,0.683645
complete,6800,none,0.700248
complete,6900,none,0.720917
complete,7000,none,0.7546
complete,7100,none,0.765222
complete,7200,none,0.786039
complete,7300,none,0.809123
complete,7400,none,0.837208
complete,7500,none,0.866236
complete,7600,none,0.883693
complete,7700,none,0.901872
complete,7800,none,0.924284
complete,7900,none,0.949165
complete,8000,none,0.982882
complete,8100,none,1.0001
complete,8200,none,1.05753
complete,8300,none,1.04712
complete,8400,none,1.0704
complete,8500,none,1.11349
complete,8600,none,1.12809
complete,8700,none,1.17127
complete,8800,none,1.17841
complete,8900,none,1.20716
complete,9000,none,1.23704
complete,9100,none,1.26003
complete,9200,none,1.28581
complete,9300,none,1.31483
complete,9400,none,1.34162
complete,9500,none,1.37293
complete,9600,none,1.48201
complete,9700,none,1.42908
complete,9800,none,1.45787
complete,9900,none,1.48826
complete,10000,none,1.55186
complete,10100,none,1.54496
complete,10200,none,1.58028
complete,10300,none,1.60237
complete,10400,none,1.63795
complete,10500,none,1.67226
complete,10600,none,1.76392
complete,10700,none,1.73359
complete,10800,none,1.76645
complete,10900,none,1.79644
complete,11000,none,1.83145
complete,11100,none,1.96001
complete,11200,none,2.03621
complete,11300,none,2.10252
complete,11400,none,2.07172
complete,11500,none,2.08982
complete,11600,none,2.08161
complete,11700,none,2.11442
complete,11800,none,2.17358
complete,11900,none,2.20368
complete,12000,none,2.25558
complete,12100,none,2.24864
complete,12200,none,2.31638
complete,12300,none,2.40664
complete,12400,none,2.37361
complete,12500,none,2.40262
complete,12600,none,2.5184
complete,12700,none,2.48002
complete,12800,none,2.55905
complete,12900,none,2.54992
complete,13000,none,2.60288
complete,13100,none,2.61657
complete,13200,none,2.69947
complete,13300,none,2.71746
complete,13400,none,2.77237
complete,13500,none,2.80876
complete,13600,none,2.99839
complete,13700,none,2.95714
complete,13800,none,3.00137
complete,13900,none,3.02641
complete,14000,none,3.073
complete,14100,none,3.09664
complete,14200,none,3.1704
complete,14300,none,3.14484
complete,14400,none,3.24559
complete,14500,none,3.21905
complete,14600,none,3.2704
complete,14700,none,3.43476
complete,14800,none,3.36597
complete,14900,none,3.3583
complete,15000,none,3.38855
complete,15100,none,3.44183
complete,15200,none,3.48795
complete,15300,none,3.77318
complete,15400,none,3.61668
complete,15500,none,3.71253
complete,15600,none,3.82079
complete,15700,none,3.73664
complete,15800,none,3.78039
complete,15900,none,3.83321
complete,16000,none,3.86496
complete,16100,none,3.93
complete,16200,none,3.96411
complete,16300,none,4.01009
complete,16400,none,4.08482
complete,16500,none,4.36916
complete,16600,none,4.20791
complete,16700,none,4.23163
complete,16800,none,4.51525
complete,16900,none,4.47873
complete,17000,none,4.39347
complete,17100,none,4.51251
complete,17200,none,4.88043
complete,17300,none,4.60924
complete,17400,none,4.7008
complete,17500,none,5.41158
complete,17600,none,4.70113
complete,17700,none,5.01049
complete,17800,none,5.19731
complete,17900,none,5.3724
complete,18000,none,5.48642
complete,18100,none,5.45304
complete,18200,none,5.5769
complete,18300,none,5.52789
complete,18400,none,5.59095
complete,18500,none,5.71264
complete,18600,none,5.87529
complete,18700,none,5.75561
complete,18800,none,5.85613
complete,18900,none,6.18582
complete,19000,none,6.10115
complete,19100,none,6.6363
complete,19200,none,6.79749
complete,19300,none,6.81433
complete,19400,none,6.72609
complete,19500,none,6.74091
complete,19600,none,6.74011
complete,19700,none,6.60567
complete,19800,none,7.10557
complete,19900,none,6.9611
complete,20000,none,7.84478
complete,100,O,0.0001158
complete,200,O,0.0004795
complete,300,O,0.001122
complete,400,O,0.0008058
complete,500,O,0.0012264
complete,600,O,0.0016847
complete,700,O,0.0023936
complete,800,O,0.0032106
complete,900,O,0.004065
complete,1000,O,0.005121
complete,1100,O,0.0061007
complete,1200,O,0.007487
complete,1300,O,0.0089081
complete,1400,O,0.0102752
complete,1500,O,0.0119116
complete,1600,O,0.0136937
complete,1700,O,0.0156696
complete,1800,O,0.0195247
complete,1900,O,0.022078
complete,2000,O,0.0216769
complete,2100,O,0.0267944
complete,2200,O,0.0303072
complete,2300,O,0.03727
complete,2400,O,0.0317281
complete,2500,O,0.0335917
complete,2600,O,0.0357014
complete,2700,O,0.0384793
complete,2800,O,0.0420694
complete,2900,O,0.0494996
complete,3000,O,0.050098
complete,3100,O,0.0536902
complete,3200,O,0.0561749
complete,3300,O,0.0608397
complete,3400,O,0.0658718
complete,3500,O,0.070517
complete,3600,O,0.0718908
complete,3700,O,0.0756897
complete,3800,O,0.0770509
complete,3900,O,0.0823467
complete,4000,O,0.0859544
complete,4100,O,0.0898214
complete,4200,O,0.0958108
complete,4300,O,0.0985045
complete,4400,O,0.104825
complete,4500,O,0.108956
complete,4600,O,0.113821
complete,4700,O,0.115907
complete,4800,O,0.122272
complete,4900,O,0.128573
complete,5000,O,0.133751
complete,5100,O,0.13708
complete,5200,O,0.144172
complete,5300,O,0.149165
complete,5400,O,0.162283
complete,5500,O,0.167765
complete,5600,O,0.173744
complete,5700,O,0.180648
complete,5800,O,0.180365
complete,5900,O,0.193115
complete,6000,O,0.200479
complete,6100,O,0.202048
complete,6200,O,0.20837
complete,6300,O,0.218796
complete,6400,O,0.222076
complete,6500,O,0.243203
complete,6600,O,0.240375
complete,6700,O,0.252082
complete,6800,O,0.289183
complete,6900,O,0.28497
complete,7000,O,0.270216
complete,7100,O,0.282243
complete,7200,O,0.284909
complete,7300,O,0.294285
complete,7400,O,0.309489
complete,7500,O,0.311211
complete,7600,O,0.32303
complete,7700,O,0.342862
complete,7800,O,0.344968
complete,7900,O,0.355301
complete,8000,O,0.352707
complete,8100,O,0.357099
complete,8200,O,0.356199
complete,8300,O,0.364887
complete,8400,O,0.373453
complete,8500,O,0.383482
complete,8600,O,0.389894
complete,8700,O,0.398219
complete,8800,O,0.407322
complete,8900,O,0.426284
complete,9000,O,0.444043
complete,9100,O,0.472228
complete,9200,O,0.45187
complete,9300,O,0.464377
complete,9400,O,0.490907
complete,9500,O,0.496434
complete,9600,O,0.49378
complete,9700,O,0.505895
complete,9800,O,0.517152
complete,9900,O,0.523284
complete,10000,O,0.539174
complete,10100,O,0.555063
complete,10200,O,0.58431
complete,10300,O,0.592682
complete,10400,O,0.59658
complete,10500,O,0.58459
complete,10600,O,0.59423
complete,10700,O,0.611158
complete,10800,O,0.623906
complete,10900,O,0.632017
complete,11000,O,0.64044
complete,11100,O,0.653344
complete,11200,O,0.66449
complete,11300,O,0.674577
complete,11400,O,0.68644
complete,11500,O,0.698436
complete,11600,O,0.70959
complete,11700,O,0.728442
complete,11800,O,0.740596
complete,11900,O,0.747242
complete,12000,O,0.759595
complete,12100,O,0.775214
complete,12200,O,0.788231
complete,12300,O,0.803807
complete,12400,O,0.819051
complete,12500,O,0.826925
complete,12600,O,0.839854
complete,12700,O,0.850103
complete,12800,O,0.864646
complete,12900,O,0.879006
complete,13000,O,0.895596
complete,13100,O,0.914122
complete,13200,O,0.924602
complete,13300,O,0.934383
complete,13400,O,0.948537
complete,13500,O,0.961529
complete,13600,O,0.971711
complete,13700,O,0.987643
complete,13800,O,1.00116
complete,13900,O,1.01849
complete,14000,O,1.03087
complete,14100,O,1.05584
complete,14200,O,1.07212
complete,14300,O,1.08478
complete,14400,O,1.09642
complete,14500,O,1.11801
complete,14600,O,1.13028
complete,14700,O,1.14659
complete,14800,O,1.1679
complete,14900,O,1.17581
complete,15000,O,1.20645
complete,15100,O,1.21747
complete,15200,O,1.24481
complete,15300,O,1.24646
complete,15400,O,1.26977
complete,15500,O,1.27891
complete,15600,O,1.29585
complete,15700,O,1.30989
complete,15800,O,1.33035
complete,15900,O,1.34302
complete,16000,O,1.41832
complete,16100,O,1.38073
complete,16200,O,1.39598
complete,16300,O,1.41616
complete,16400,O,1.39359
complete,16500,O,1.41166
complete,16600,O,1.43083
complete,16700,O,1.44174
complete,16800,O,1.45999
complete,16900,O,1.47852
complete,17000,O,1.4935
complete,17100,O,1.51381
complete,17200,O,1.53071
